Seed,Method,Steps,Relative L2,PDE residual norm,BC error,IC error,wall time,solver steps,action norm,return,paired improvement,Case
42,TD3+BC without physics regularization,1,0.28702279925346375,530.0693359375,0.0,0.0,0.004775899928063154,1,0.021942222490906715,-0.001743227825500071,-0.0004998445510864258,19
42,RL Neural Operator Solver,1,0.28362804651260376,478.6676940917969,0.0,0.0,0.006234199972823262,1,0.008466214872896671,0.010154927149415016,0.0028949081897735596,19
42,Base FNO Initializer,1,0.29037368297576904,626.453125,0.0,0.0,1.00000761449337e-06,0,0.0,0.0,0.0,20
42,Gradient residual refinement,1,0.2895660698413849,589.4100341796875,0.0,0.0,0.0028370001818984747,1,0.009426298551261425,0.0027850940823554993,0.0008076131343841553,20
42,PINN-style refinement,1,0.29031965136528015,623.234375,0.0,0.0,0.010263800155371428,1,0.0006051796372048557,0.0001860681950347498,5.40316104888916e-05,20
42,Supervised Neural Operator Corrector,1,0.28770384192466736,574.301025390625,0.0,0.0,0.0031874999403953552,1,0.008381899446249008,0.009237018413841724,0.0026698410511016846,20
42,TD3 from scratch,1,0.28796058893203735,641.1889038085938,0.0,0.0,0.005567899905145168,1,0.018381422385573387,0.00834485050290823,0.0024130940437316895,20
42,TD3+BC without physics regularization,1,0.2908587157726288,627.8893432617188,0.0,0.0,0.004968900000676513,1,0.022032296285033226,-0.0016692534554749727,-0.0004850327968597412,20
42,RL Neural Operator Solver,1,0.28770384192466736,574.301025390625,0.0,0.0,0.005615100031718612,1,0.008381899446249008,0.009237018413841724,0.0026698410511016846,20
42,Base FNO Initializer,1,0.36425352096557617,1226.3023681640625,0.0,0.0,1.100124791264534e-06,0,0.0,0.0,0.0,21
42,Gradient residual refinement,1,0.3641833961009979,1152.0567626953125,0.0,0.0,0.002745899837464094,1,0.009839172475039959,0.00019245607836637646,7.012486457824707e-05,21
42,PINN-style refinement,1,0.36427685618400574,1221.6971435546875,0.0,0.0,0.008456900017336011,1,0.0006224215612746775,-6.40772414044477e-05,-2.333521842956543e-05,21
42,Supervised Neural Operator Corrector,1,0.363028347492218,1150.398681640625,0.0,0.0,0.00306560005992651,1,0.008628512732684612,0.0033690957352519035,0.0012251734733581543,21
42,TD3 from scratch,1,0.36288267374038696,1246.305908203125,0.0,0.0,0.0048414000775665045,1,0.019382769241929054,0.0037703178822994232,0.001370847225189209,21
42,TD3+BC without physics regularization,1,0.3647170662879944,1231.7239990234375,0.0,0.0,0.005953700048848987,1,0.022000392898917198,-0.0012720002559944987,-0.0004635453224182129,21
42,RL Neural Operator Solver,1,0.363028347492218,1150.398681640625,0.0,0.0,0.0047755001578480005,1,0.008628512732684612,0.0033690957352519035,0.0012251734733581543,21
42,Base FNO Initializer,1,0.28054454922676086,337.0725402832031,0.0,0.0,1.00000761449337e-06,0,0.0,0.0,0.0,22
42,Gradient residual refinement,1,0.27907195687294006,312.21026611328125,0.0,0.0,0.0035952001344412565,1,0.00917826872318983,0.005262883845716715,0.0014725923538208008,22
42,PINN-style refinement,1,0.2804070711135864,334.4068298339844,0.0,0.0,0.0074223000556230545,1,0.0006005209870636463,0.0004901874926872551,0.00013747811317443848,22
42,Supervised Neural Operator Corrector,1,0.2773350477218628,296.1583557128906,0.0,0.0,0.005383700132369995,1,0.008642200380563736,0.011506111361086369,0.0032095015048980713,22
42,TD3 from scratch,1,0.27715861797332764,349.7740478515625,0.0,0.0,0.00511589995585382,1,0.01757700927555561,0.012142393738031387,0.0033859312534332275,22
42,TD3+BC without physics regularization,1,0.28077539801597595,343.0984802246094,0.0,0.0,0.005251400172710419,1,0.021854950115084648,-0.0008227634825743735,-0.0002308487892150879,22
42,RL Neural Operator Solver,1,0.2773350477218628,296.1583557128906,0.0,0.0,0.004876899998635054,1,0.008642200380563736,0.011506111361086369,0.0032095015048980713,22
42,Base FNO Initializer,1,0.5962514281272888,3135.920654296875,0.0,0.0,1.00000761449337e-06,0,0.0,0.0,0.0,23
42,Gradient residual refinement,1,0.5965131521224976,3031.165283203125,0.0,0.0,0.004572700010612607,1,0.009991209022700787,-0.00043889597873203456,-0.00026172399520874023,23
42,PINN-style refinement,1,0.5962827205657959,3130.189208984375,0.0,0.0,0.007648200029507279,1,0.0006288429140113294,-5.2453659009188414e-05,-3.129243850708008e-05,23
42,Supervised Neural Operator Corrector,1,0.5964707136154175,3050.176513671875,0.0,0.0,0.003203700063750148,1,0.008879738859832287,-0.00036774849286302924,-0.0002192854881286621,23
42,TD3 from scratch,1,0.5957024693489075,3138.7021484375,0.0,0.0,0.005372399929910898,1,0.018989918753504753,0.00092088314704597,0.0005489587783813477,23
