Seed,Case,Step,Horizon,GreedyImmediateReward,GreedyFinalError,LongHorizonReturn,LongHorizonFinalError,AbsoluteOracleGain,RelativeOracleGain,GreedyActionShift,LongActionShift,ActionsDifferent
42,11,1,20,0.0008264616481028497,0.5780317187309265,0.0071152327582240105,0.5780045986175537,2.7120113372802734e-05,4.691803666474423e-05,1.375664234161377,1.3511675596237183,True
42,11,2,20,0.0008309894474223256,0.5779649019241333,0.006556133273988962,0.5779228210449219,4.208087921142578e-05,7.280871047935976e-05,1.359886646270752,1.365249752998352,True
42,11,3,20,0.0008507580496370792,0.5779411196708679,0.00584877235814929,0.5779263377189636,1.4781951904296875e-05,2.5576916750126828e-05,1.3389471769332886,1.3571453094482422,True
42,11,4,20,0.0008444489212706685,0.5778628587722778,0.0052658021450042725,0.5778628587722778,0.0,0.0,1.3486377000808716,1.3486377000808716,False
42,11,5,20,0.0007726236945018172,0.5778478384017944,0.004646299406886101,0.5778323411941528,1.5497207641601562e-05,2.6818838129538702e-05,1.3457062244415283,1.380968451499939,True
42,11,6,20,0.0007716699619777501,0.5777933597564697,0.004072928801178932,0.5777933597564697,0.0,0.0,1.377562165260315,1.377562165260315,False
42,11,7,20,0.0007099629729054868,0.5777891874313354,0.0035138532985001802,0.5777692198753357,1.996755599975586e-05,3.4558549093874844e-05,1.4119608402252197,1.400066614151001,True
42,11,8,20,0.0006934033590368927,0.5777334570884705,0.0030242460779845715,0.5777327418327332,7.152557373046875e-07,1.2380375907417072e-06,1.4348812103271484,1.4434243440628052,True
42,11,9,20,0.000606080808211118,0.5777068138122559,0.0025697059463709593,0.5777068138122559,0.0,0.0,1.4814167022705078,1.4814167022705078,False
42,11,10,20,0.000554488564375788,0.5777075290679932,0.002138672396540642,0.5776990056037903,8.52346420288086e-06,1.475394342987296e-05,1.504750370979309,1.5198845863342285,True
42,11,11,20,0.0005095773958601058,0.57762211561203,0.0018812353955581784,0.57762211561203,0.0,0.0,1.5729564428329468,1.5729564428329468,False
42,11,12,20,0.0004931291914545,0.5776195526123047,0.0015448984922841191,0.5776195526123047,0.0,0.0,1.647399663925171,1.647399663925171,False
42,11,13,20,0.00039435154758393764,0.5776228308677673,0.0012678479542955756,0.5776083469390869,1.4483928680419922e-05,2.507506266443901e-05,1.7112631797790527,1.722466230392456,True
42,11,14,20,0.0003811228380072862,0.5775858759880066,0.001090373145416379,0.5775615572929382,2.4318695068359375e-05,4.210403349417143e-05,1.7924588918685913,1.780397891998291,True
42,11,15,20,0.0003916083660442382,0.5775333642959595,0.0009132595732808113,0.5775333642959595,0.0,0.0,1.896621823310852,1.896621823310852,False
42,11,16,20,0.0003521655744407326,0.5775268077850342,0.0007249598274938762,0.5775268077850342,0.0,0.0,1.9866760969161987,1.9866760969161987,False
42,11,17,20,0.0003232088638469577,0.577517569065094,0.0005624021869152784,0.577517569065094,0.0,0.0,2.073209524154663,2.073209524154663,False
42,11,18,20,0.00025290081975981593,0.5775287747383118,0.0003810202470049262,0.5775287747383118,0.0,0.0,2.1784727573394775,2.1784727573394775,False
42,11,19,20,0.00030664398218505085,0.5774849653244019,0.00030664398218505085,0.5774849653244019,0.0,0.0,2.292407512664795,2.292407512664795,False
42,12,0,20,0.017469309270381927,0.2544723451137543,0.2167883962392807,0.2543257176876068,0.00014662742614746094,0.000576201811170937,0.5,0.5,True
42,12,1,20,0.019251719117164612,0.2546147108078003,0.20532815158367157,0.2540794610977173,0.0005352497100830078,0.002102194756873451,0.5,0.4999999701976776,True
42,12,2,20,0.021936636418104172,0.2536361813545227,0.196648970246315,0.25298359990119934,0.0006525814533233643,0.0025729036363751727,0.5,0.5,True
42,12,3,20,0.021435212343931198,0.2529909014701843,0.18413880467414856,0.2529909014701843,0.0,0.0,0.5,0.5,False
42,12,4,20,0.020838212221860886,0.25317344069480896,0.17069938778877258,0.25317344069480896,0.0,0.0,0.5,0.5,False
42,12,5,20,0.02086295746266842,0.25413334369659424,0.15440253913402557,0.25413334369659424,0.0,0.0,0.4999999403953552,0.4999999403953552,False
42,12,6,20,0.01889919489622116,0.2542048394680023,0.1417839378118515,0.2542048394680023,0.0,0.0,0.5,0.5,False
42,12,7,20,0.019185392186045647,0.2541961073875427,0.12983277440071106,0.2541961073875427,0.0,0.0,0.4999999701976776,0.4999999701976776,False
42,12,8,20,0.020982015877962112,0.25349152088165283,0.12103904783725739,0.25349152088165283,0.0,0.0,0.5,0.5,False
42,12,9,20,0.018587742000818253,0.2545839846134186,0.10548843443393707,0.2545839846134186,0.0,0.0,0.4667300879955292,0.4667300879955292,False
42,12,10,20,0.019553806632757187,0.253982812166214,0.09700917452573776,0.253982812166214,0.0,0.0,0.4889152944087982,0.4889152944087982,False
42,12,11,20,0.01615675538778305,0.2551937997341156,0.0816442221403122,0.2551937997341156,0.0,0.0,0.25,0.25,False
42,12,12,20,0.0200099665671587,0.25362128019332886,0.07765831053256989,0.25362128019332886,0.0,0.0,0.5,0.5,False
42,12,13,20,0.018550880253314972,0.2542074918746948,0.06558647751808167,0.2542074918746948,0.0,0.0,0.5,0.5,False
42,12,14,20,0.013864927925169468,0.2553170621395111,0.05187222361564636,0.2553170621395111,0.0,0.0,0.5,0.5,False
42,12,15,20,0.019106797873973846,0.2537993788719177,0.04894210025668144,0.2537993788719177,0.0,0.0,0.5,0.5,False
42,12,16,20,0.014088988304138184,0.25499427318573,0.03577481210231781,0.25499427318573,0.0,0.0,0.480142205953598,0.480142205953598,False
42,12,17,20,0.01679336652159691,0.2542420029640198,0.03069591522216797,0.2542420029640198,0.0,0.0,0.4938206970691681,0.4938206970691681,False
42,12,18,20,0.014318759553134441,0.25473207235336304,0.021148787811398506,0.25473207235336304,0.0,0.0,0.5,0.5,False
42,12,19,20,0.016972118988633156,0.25397732853889465,0.016972118988633156,0.25397732853889465,0.0,0.0,0.4999999701976776,0.4999999701976776,False
42,13,0,20,0.007602173835039139,0.2896944582462311,0.04486788436770439,0.2896944582462311,0.0,0.0,0.25,0.25,False
