Seed,Policy,state,latent_policy_shift,correction_policy_shift
123,TD3+BC,13,0.0,0.0
123,TD3+BC,14,0.0,0.0
123,TD3+BC,15,0.0,0.0
123,TD3+BC,16,0.0,0.0
123,TD3+BC,17,0.0,0.0
123,TD3+BC,18,0.0,0.0
123,TD3+BC,19,0.0,0.0
123,TD3+BC,20,0.0,0.0
123,TD3+BC,21,0.0,0.0
123,TD3+BC,22,0.0,0.0
123,TD3+BC,23,0.0,0.0
123,TD3+BC,24,0.0,0.0
123,TD3+BC,25,0.0,0.0
123,TD3+BC,26,0.0,0.0
123,TD3+BC,27,0.0,0.0
123,TD3+BC,28,0.0,0.0
123,TD3+BC,29,0.0,0.0
123,TD3+BC,30,0.0,0.0
123,TD3+BC,31,0.0,0.0
123,TD3+BC,32,0.0,0.0
123,TD3+BC,33,0.0,0.0
123,TD3+BC,34,0.0,0.0
123,TD3+BC,35,0.0,0.0
123,TD3+BC,36,0.0,0.0
123,TD3+BC,37,0.0,0.0
123,TD3+BC,38,0.0,0.0
123,TD3+BC,39,0.0,0.0
123,TD3+BC,40,0.0,0.0
123,TD3+BC,41,0.0,0.0
123,TD3+BC,42,0.0,0.0
123,TD3+BC,43,0.0,0.0
123,TD3+BC,44,0.0,0.0
123,TD3+BC,45,0.0,0.0
123,TD3+BC,46,0.0,0.0
123,TD3+BC,47,0.0,0.0
123,TD3+BC,48,0.0,0.0
123,TD3+BC,49,0.0,0.0
123,TD3+BC,50,0.0,0.0
123,TD3+BC,51,0.0,0.0
123,TD3+BC,52,0.0,0.0
123,TD3+BC,53,0.0,0.0
123,TD3+BC,54,0.0,0.0
123,TD3+BC,55,0.0,0.0
123,TD3+BC,56,0.0,0.0
123,TD3+BC,57,0.0,0.0
123,TD3+BC,58,0.0,0.0
123,TD3+BC,59,0.0,0.0
123,TD3+BC,60,0.0,0.0
123,TD3+BC,61,0.0,0.0
123,TD3+BC,62,0.0,0.0
123,TD3+BC,63,0.0,0.0
123,TD3+BC,64,0.0,0.0
123,TD3+BC,65,0.0,0.0
123,TD3+BC,66,0.0,0.0
123,TD3+BC,67,0.0,0.0
123,TD3+BC,68,0.0,0.0
123,TD3+BC,69,0.0,0.0
123,TD3+BC,70,0.0,0.0
123,TD3+BC,71,0.0,0.0
123,TD3+BC,72,0.0,0.0
123,TD3+BC,73,0.0,0.0
123,TD3+BC,74,0.0,0.0
123,TD3+BC,75,0.0,0.0
123,TD3+BC,76,0.0,0.0
123,TD3+BC,77,0.0,0.0
123,TD3+BC,78,0.0,0.0
123,TD3+BC,79,0.0,0.0
123,TD3+BC,-1,0.0,0.0
2026,Rollout-Verified RL Neural Operator Solver,0,0.0156465582549572,0.017135269939899445
2026,Rollout-Verified RL Neural Operator Solver,1,0.01564626395702362,0.018084736540913582
