variant,state,candidate,q,return,horizon,pearson,spearman,pairwise,top1,Seed
full_cycle0,17,perturb_1sigma,-0.10855063796043396,-6.0838745412183926e-05,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,17,perturb_2sigma,-0.13194772601127625,0.000246679882366152,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,18,supervised,-0.17651301622390747,-0.0001013182190945372,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,18,actor,-0.17651301622390747,-0.0001013182190945372,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,18,zero,-0.056257665157318115,0.0007029207627056167,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,18,random,-0.05867701768875122,0.0006676649063592777,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,18,shuffled,0.07512300461530685,0.0017031649404088967,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,18,perturb_0.25sigma,-0.1651383936405182,-0.0001225787855219096,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,18,perturb_0.5sigma,-0.19040435552597046,-1.1000782251358032e-05,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,18,perturb_1sigma,-0.08917462825775146,0.0001474832242820412,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,18,perturb_2sigma,-0.15068024396896362,-0.00012768145825248212,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,19,supervised,-0.17946183681488037,0.00018697051564231515,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,19,actor,-0.17946183681488037,0.00018697051564231515,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,19,zero,-0.06069296598434448,0.0007304313476197422,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,19,random,-0.061177968978881836,0.0007239976548589766,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,19,shuffled,0.07555292546749115,0.0017459746450185776,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,19,perturb_0.25sigma,-0.16954785585403442,0.00015586457448080182,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,19,perturb_0.5sigma,-0.18119078874588013,0.00018899595306720585,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,19,perturb_1sigma,-0.08645990490913391,8.256085857283324e-05,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,19,perturb_2sigma,-0.181250661611557,0.00032592882052995265,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,20,supervised,-0.0013393163681030273,0.023978129494935274,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,20,actor,-0.0013393163681030273,0.023978129494935274,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,20,zero,-0.0006429105997085571,0.024624954676255584,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,20,random,-0.03045160323381424,0.020930199418216944,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,20,shuffled,0.0010317713022232056,0.025421777740120888,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,20,perturb_0.25sigma,0.006492488086223602,0.0247445038985461,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,20,perturb_0.5sigma,0.03770121932029724,0.02825375832617283,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,20,perturb_1sigma,0.06566761434078217,0.029988661408424377,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,20,perturb_2sigma,-0.03908441215753555,0.02031513722613454,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,21,supervised,-0.02147376537322998,0.019967088475823402,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,21,actor,-0.02147376537322998,0.019967088475823402,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,21,zero,-0.020114988088607788,0.020192617550492287,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,21,random,0.0074758827686309814,0.022089240606874228,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,21,shuffled,-0.019734561443328857,0.020449829287827015,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
