Case,SolverStep,LatentDistance,CorrectionDifference,NextErrorDifference
919,0,3.0,0.27498432993888855,0.04987093806266785
919,0,1.0,0.10667210817337036,0.009520202875137329
919,0,1.0,0.10667210817337036,0.009488552808761597
919,0,3.0,0.28598734736442566,0.0619422048330307
919,0,3.0,0.28598734736442566,0.05532701313495636
919,0,1.0,0.10203981399536133,0.009191721677780151
919,0,1.0,0.10203981399536133,0.008246287703514099
919,0,3.000000238418579,0.2743350863456726,0.05173671245574951
919,0,3.000000238418579,0.2743350863456726,0.05745057761669159
919,0,0.9999998807907104,0.1025974452495575,-0.0011204034090042114
919,0,0.9999998807907104,0.1025974452495575,0.018140390515327454
919,0,3.0,0.32732143998146057,0.07642975449562073
919,0,3.0,0.32732143998146057,0.07086744904518127
919,0,1.0,0.10348168015480042,0.010076642036437988
919,0,1.0,0.10348168015480042,0.007836520671844482
919,0,3.0,0.30119726061820984,0.06281439960002899
919,0,3.0,0.30119726061820984,0.06531980633735657
919,0,1.0,0.09977789223194122,0.003126591444015503
919,0,1.0,0.09977789223194122,0.013396680355072021
919,0,3.0,0.28190264105796814,0.06123511493206024
919,0,3.0,0.28190264105796814,0.05314961075782776
919,0,1.0,0.09832717478275299,0.01202721893787384
919,0,1.0,0.09832717478275299,0.004096329212188721
919,0,3.0,0.3077862858772278,0.08178594708442688
919,0,3.0,0.30778631567955017,0.04992187023162842
919,0,1.0,0.10498534142971039,0.008410423994064331
919,0,1.0,0.10498534142971039,0.010015562176704407
919,0,3.0,0.31521549820899963,0.06953802704811096
919,0,3.0,0.31521549820899963,0.06880995631217957
919,0,0.9999999403953552,0.1119576171040535,0.009676232933998108
919,0,0.9999999403953552,0.1119576171040535,0.011194020509719849
919,0,2.999999761581421,0.2923043370246887,0.0557117760181427
860,0,1.0,0.09631367027759552,-0.003749161958694458
860,0,1.0,0.09631367772817612,0.014174893498420715
860,0,3.0,0.23336704075336456,0.025871306657791138
860,0,3.0,0.23336704075336456,0.033482760190963745
860,0,1.0,0.10200988501310349,-0.0018461346626281738
860,0,1.0,0.10200988501310349,0.013715773820877075
860,0,3.0,0.27270758152008057,0.041200846433639526
860,0,3.0,0.27270758152008057,0.03753103315830231
860,0,1.0,0.08665937930345535,0.011894524097442627
860,0,1.0,0.08665937185287476,-0.0033799409866333008
860,0,3.0,0.2890781760215759,0.04078790545463562
860,0,3.0,0.2890781760215759,0.04650144279003143
860,0,1.0,0.10128287971019745,0.008532702922821045
860,0,1.0,0.10128287971019745,0.003531724214553833
860,0,2.999999761581421,0.31145748496055603,0.03550802171230316
860,0,2.999999761581421,0.31145748496055603,0.06303626298904419
860,0,1.0,0.10346082597970963,0.010856077075004578
860,0,1.0,0.10346082597970963,0.001622214913368225
860,0,3.0,0.30715978145599365,0.03040952980518341
860,0,3.0,0.30715978145599365,0.06515617668628693
860,0,1.0,0.09621099382638931,0.014023229479789734
860,0,1.0,0.09621099382638931,-0.003602534532546997
