Case,Horizon,GreedyFinalError,LongFinalError,AbsoluteOracleGain,RelativeOracleGain,ActionsDifferent
944,20,0.13712309300899506,0.13519549369812012,0.001927599310874939,0.01405743750798045,True
881,5,0.12556317448616028,0.12556317448616028,0.0,0.0,False
881,10,0.12556317448616028,0.1255016326904297,6.154179573059082e-05,0.0004901261534875739,True
881,20,0.12556317448616028,0.12447892129421234,0.001084253191947937,0.008635120897388946,True
882,5,0.13090550899505615,0.13090550899505615,0.0,0.0,False
882,10,0.13140079379081726,0.12947118282318115,0.0019296109676361084,0.014684926262378151,True
882,20,0.13243451714515686,0.1301015168428421,0.0023330003023147583,0.017616255585072568,True
898,5,0.11523512750864029,0.11523512750864029,0.0,0.0,False
898,10,0.11523512750864029,0.11523512750864029,0.0,0.0,False
898,20,0.11523512750864029,0.11425739526748657,0.000977732241153717,0.008484671838284788,True
848,5,0.13439956307411194,0.13439956307411194,0.0,0.0,False
848,10,0.13523247838020325,0.13523247838020325,0.0,0.0,False
848,20,0.13653123378753662,0.13509900867938995,0.0014322251081466675,0.010490091303030542,True
973,5,0.14053022861480713,0.14053022861480713,0.0,0.0,False
973,10,0.14130888879299164,0.14130888879299164,0.0,0.0,False
973,20,0.1431172639131546,0.1431172639131546,0.0,0.0,False
838,5,0.11962562054395676,0.11962562054395676,0.0,0.0,False
838,10,0.11962562054395676,0.11962562054395676,0.0,0.0,False
838,20,0.11962562054395676,0.11962562054395676,0.0,0.0,False
924,5,0.1291295439004898,0.1291295439004898,0.0,0.0,False
924,10,0.1291295439004898,0.1291295439004898,0.0,0.0,False
924,20,0.1291295439004898,0.1291295439004898,0.0,0.0,False
812,5,0.142062708735466,0.142062708735466,0.0,0.0,False
812,10,0.14210641384124756,0.14184071123600006,0.00026570260524749756,0.0018697439338967766,True
812,20,0.14293788373470306,0.14041873812675476,0.0025191456079483032,0.017624058382058546,True
945,5,0.14296306669712067,0.14275546371936798,0.00020760297775268555,0.0014521441274935015,True
945,10,0.14294302463531494,0.14266249537467957,0.000280529260635376,0.0019625250084855804,True
945,20,0.143873393535614,0.14367012679576874,0.00020326673984527588,0.0014128167470725558,True
933,5,0.1411874145269394,0.14048916101455688,0.0006982535123825073,0.004945579000239263,True
933,10,0.1411874145269394,0.1398216038942337,0.0013658106327056885,0.009673742077379593,True
933,20,0.1411874145269394,0.13966041803359985,0.0015269964933395386,0.010815386757069475,True
851,5,0.143267422914505,0.143267422914505,0.0,0.0,False
