Horizon,Case,SolverStep,Stage,ActionsDifferent,ImmediateGain,GreedyFinalError,LongFinalError,TrajectoryGain
5,877,0,Early,True,-0.002287380862981081,0.13391925394535065,0.1352870911359787,-0.0013678371906280518
5,877,1,Early,False,0.0,0.13391925394535065,0.1352870911359787,-0.0013678371906280518
5,877,2,Early,True,-0.0022104789968580008,0.13391925394535065,0.1352870911359787,-0.0013678371906280518
5,877,3,Early,False,0.0,0.13391925394535065,0.1352870911359787,-0.0013678371906280518
5,877,4,Early,False,0.0,0.13391925394535065,0.1352870911359787,-0.0013678371906280518
5,817,0,Early,False,0.0,0.1370869129896164,0.1370869129896164,0.0
5,817,1,Early,False,0.0,0.1370869129896164,0.1370869129896164,0.0
5,817,2,Early,False,0.0,0.1370869129896164,0.1370869129896164,0.0
5,817,3,Early,False,0.0,0.1370869129896164,0.1370869129896164,0.0
5,817,4,Early,False,0.0,0.1370869129896164,0.1370869129896164,0.0
5,987,0,Early,False,0.0,0.13484784960746765,0.13523773849010468,-0.0003898888826370239
5,987,1,Early,False,0.0,0.13484784960746765,0.13523773849010468,-0.0003898888826370239
5,987,2,Early,True,-0.0010658791288733482,0.13484784960746765,0.13523773849010468,-0.0003898888826370239
5,987,3,Early,False,0.0,0.13484784960746765,0.13523773849010468,-0.0003898888826370239
5,987,4,Early,False,0.0,0.13484784960746765,0.13523773849010468,-0.0003898888826370239
5,954,0,Early,False,0.0,0.13230371475219727,0.13233573734760284,-3.202259540557861e-05
5,954,1,Early,True,-0.022347120568156242,0.13230371475219727,0.13233573734760284,-3.202259540557861e-05
5,954,2,Early,False,0.0,0.13230371475219727,0.13233573734760284,-3.202259540557861e-05
5,954,3,Early,False,0.0,0.13230371475219727,0.13233573734760284,-3.202259540557861e-05
5,954,4,Early,False,0.0,0.13230371475219727,0.13233573734760284,-3.202259540557861e-05
5,890,0,Early,False,0.0,0.14086444675922394,0.140811026096344,5.342066287994385e-05
5,890,1,Early,True,-0.00408376008272171,0.14086444675922394,0.140811026096344,5.342066287994385e-05
5,890,2,Early,False,0.0,0.14086444675922394,0.140811026096344,5.342066287994385e-05
5,890,3,Early,False,0.0,0.14086444675922394,0.140811026096344,5.342066287994385e-05
5,890,4,Early,False,0.0,0.14086444675922394,0.140811026096344,5.342066287994385e-05
5,831,0,Early,False,0.0,0.16927596926689148,0.16927596926689148,0.0
5,831,1,Early,False,0.0,0.16927596926689148,0.16927596926689148,0.0
5,831,2,Early,False,0.0,0.16927596926689148,0.16927596926689148,0.0
5,831,3,Early,False,0.0,0.16927596926689148,0.16927596926689148,0.0
5,831,4,Early,False,0.0,0.16927596926689148,0.16927596926689148,0.0
5,862,0,Early,False,0.0,0.11998606473207474,0.11945336312055588,0.0005327016115188599
5,862,1,Early,True,-0.01780182123184204,0.11998606473207474,0.11945336312055588,0.0005327016115188599
5,862,2,Early,False,0.0,0.11998606473207474,0.11945336312055588,0.0005327016115188599
5,862,3,Early,False,0.0,0.11998606473207474,0.11945336312055588,0.0005327016115188599
5,862,4,Early,False,0.0,0.11998606473207474,0.11945336312055588,0.0005327016115188599
5,986,0,Early,False,0.0,0.12837354838848114,0.12837354838848114,0.0
5,986,1,Early,False,0.0,0.12837354838848114,0.12837354838848114,0.0
5,986,2,Early,False,0.0,0.12837354838848114,0.12837354838848114,0.0
5,986,3,Early,False,0.0,0.12837354838848114,0.12837354838848114,0.0
5,986,4,Early,False,0.0,0.12837354838848114,0.12837354838848114,0.0
5,905,0,Early,True,-0.018666330724954605,0.12064750492572784,0.1201438456773758,0.0005036592483520508
5,905,1,Early,False,0.0,0.12064750492572784,0.1201438456773758,0.0005036592483520508
5,905,2,Early,False,0.0,0.12064750492572784,0.1201438456773758,0.0005036592483520508
5,905,3,Early,False,0.0,0.12064750492572784,0.1201438456773758,0.0005036592483520508
5,905,4,Early,False,0.0,0.12064750492572784,0.1201438456773758,0.0005036592483520508
5,917,0,Early,False,0.0,0.1347532570362091,0.13404296338558197,0.0007102936506271362
5,917,1,Early,False,0.0,0.1347532570362091,0.13404296338558197,0.0007102936506271362
5,917,2,Early,True,-0.0036600264720618725,0.1347532570362091,0.13404296338558197,0.0007102936506271362
5,917,3,Early,True,-0.0006320062093436718,0.1347532570362091,0.13404296338558197,0.0007102936506271362
5,917,4,Early,False,0.0,0.1347532570362091,0.13404296338558197,0.0007102936506271362
5,873,0,Early,False,0.0,0.13110952079296112,0.13172240555286407,-0.0006128847599029541
5,873,1,Early,True,-0.002499355934560299,0.13110952079296112,0.13172240555286407,-0.0006128847599029541
5,873,2,Early,False,0.0,0.13110952079296112,0.13172240555286407,-0.0006128847599029541
5,873,3,Early,False,0.0,0.13110952079296112,0.13172240555286407,-0.0006128847599029541
5,873,4,Early,False,0.0,0.13110952079296112,0.13172240555286407,-0.0006128847599029541
5,950,0,Early,False,0.0,0.14041267335414886,0.14041267335414886,0.0
5,950,1,Early,False,0.0,0.14041267335414886,0.14041267335414886,0.0
5,950,2,Early,False,0.0,0.14041267335414886,0.14041267335414886,0.0
5,950,3,Early,False,0.0,0.14041267335414886,0.14041267335414886,0.0
5,950,4,Early,False,0.0,0.14041267335414886,0.14041267335414886,0.0
5,850,0,Early,False,0.0,0.12844283878803253,0.12844283878803253,0.0
5,850,1,Early,False,0.0,0.12844283878803253,0.12844283878803253,0.0
5,850,2,Early,False,0.0,0.12844283878803253,0.12844283878803253,0.0
5,850,3,Early,False,0.0,0.12844283878803253,0.12844283878803253,0.0
5,850,4,Early,False,0.0,0.12844283878803253,0.12844283878803253,0.0
5,868,0,Early,False,0.0,0.11582895368337631,0.11582895368337631,0.0
5,868,1,Early,False,0.0,0.11582895368337631,0.11582895368337631,0.0
5,868,2,Early,False,0.0,0.11582895368337631,0.11582895368337631,0.0
5,868,3,Early,False,0.0,0.11582895368337631,0.11582895368337631,0.0
5,868,4,Early,False,0.0,0.11582895368337631,0.11582895368337631,0.0
5,928,0,Early,False,0.0,0.1330062448978424,0.1330062448978424,0.0
5,928,1,Early,False,0.0,0.1330062448978424,0.1330062448978424,0.0
5,928,2,Early,False,0.0,0.1330062448978424,0.1330062448978424,0.0
5,928,3,Early,False,0.0,0.1330062448978424,0.1330062448978424,0.0
5,928,4,Early,False,0.0,0.1330062448978424,0.1330062448978424,0.0
5,889,0,Early,False,0.0,0.12902899086475372,0.13111184537410736,-0.0020828545093536377
5,889,1,Early,True,-0.016116049140691757,0.12902899086475372,0.13111184537410736,-0.0020828545093536377
5,889,2,Early,False,0.0,0.12902899086475372,0.13111184537410736,-0.0020828545093536377
5,889,3,Early,False,0.0,0.12902899086475372,0.13111184537410736,-0.0020828545093536377
5,889,4,Early,False,0.0,0.12902899086475372,0.13111184537410736,-0.0020828545093536377
5,960,0,Early,True,-0.00047823184286244214,0.141316220164299,0.1430664211511612,-0.0017502009868621826
5,960,1,Early,False,0.0,0.141316220164299,0.1430664211511612,-0.0017502009868621826
5,960,2,Early,False,0.0,0.141316220164299,0.1430664211511612,-0.0017502009868621826
5,960,3,Early,False,0.0,0.141316220164299,0.1430664211511612,-0.0017502009868621826
5,960,4,Early,False,0.0,0.141316220164299,0.1430664211511612,-0.0017502009868621826
5,811,0,Early,False,0.0,0.13878102600574493,0.13878102600574493,0.0
5,811,1,Early,False,0.0,0.13878102600574493,0.13878102600574493,0.0
5,811,2,Early,False,0.0,0.13878102600574493,0.13878102600574493,0.0
5,811,3,Early,False,0.0,0.13878102600574493,0.13878102600574493,0.0
5,811,4,Early,False,0.0,0.13878102600574493,0.13878102600574493,0.0
5,944,0,Early,False,0.0,0.13083361089229584,0.13020160794258118,0.0006320029497146606
5,944,1,Early,True,-0.0038164984434843063,0.13083361089229584,0.13020160794258118,0.0006320029497146606
5,944,2,Early,False,0.0,0.13083361089229584,0.13020160794258118,0.0006320029497146606
5,944,3,Early,True,-5.038478411734104e-05,0.13083361089229584,0.13020160794258118,0.0006320029497146606
5,944,4,Early,False,0.0,0.13083361089229584,0.13020160794258118,0.0006320029497146606
5,881,0,Early,True,-0.011418879963457584,0.12556317448616028,0.12383514642715454,0.0017280280590057373
5,881,1,Early,False,0.0,0.12556317448616028,0.12383514642715454,0.0017280280590057373
5,881,2,Early,False,0.0,0.12556317448616028,0.12383514642715454,0.0017280280590057373
